iter	Passed	Remaining
272	3307	8808
273	3319	8796
274	3331	8783
275	3340	8762
276	3352	8749
277	3365	8741
278	3374	8721
279	3383	8699
280	3392	8679
281	3401	8660
282	3411	8643
283	3421	8624
284	3426	8596
285	3434	8574
286	3445	8560
287	3457	8547
288	3468	8533
289	3485	8532
290	3493	8510
291	3500	8486
292	3516	8484
293	3527	8470
294	3539	8458
295	3550	8444
296	3566	8442
297	3577	8426
298	3590	8417
299	3602	8405
300	3609	8383
301	3624	8378
302	3635	8362
303	3649	8354
304	3660	8341
305	3671	8327
306	3677	8302
307	3685	8281
308	3696	8265
309	3706	8250
310	3718	8238
311	3725	8214
312	3740	8210
313	3754	8202
314	3763	8183
315	3775	8172
316	3786	8158
317	3794	8138
318	3806	8127
319	3814	8104
320	3824	8089
321	3828	8061
322	3841	8050
323	3853	8040
324	3861	8019
325	3871	8003
326	3883	7992
327	3897	7985
328	3910	7975
329	3918	7955
330	3929	7941
331	3938	7924
332	3945	7903
333	3951	7879
334	3966	7873
335	3979	7865
336	3992	7855
337	4000	7835
338	4009	7817
339	4018	7801
340	4028	7785
341	4033	7759
342	4042	7742
343	4055	7733
344	4067	7723
345	4089	7729
346	4101	7719
347	4115	7710
348	4123	7692
349	4127	7665
350	4144	7663
351	4153	7646
352	4160	7625
353	4172	7614
354	4181	7597
355	4189	7578
356	4196	7558
357	4206	7543
358	4217	7531
359	4226	7513
360	4239	7503
361	4246	7483
362	4257	7471
363	4271	7463
364	4280	7447
365	4293	7437
366	4306	7427
367	4321	7422
368	4327	7400
369	4341	7392
370	4356	7385
371	4369	7376
372	4384	7369
373	4390	7349
374	4399	7333
375	4412	7322
376	4424	7311
377	4436	7300
378	4445	7283
379	4451	7262
380	4458	7244
381	4469	7230
382	4477	7213
383	4488	7200
384	4496	7182
385	4504	7165
386	4512	7147
387	4520	7130
388	4530	7115
389	4547	7113
390	4554	7094
391	4566	7082
392	4574	7064
393	4585	7052
394	4597	7041
395	4602	7019
396	4608	6999
397	4612	6976
398	4623	6963
399	4633	6950
400	4649	6944
401	4659	6931
402	4671	6920
403	4683	6909
404	4695	6897
405	4704	6882
406	4711	6865
407	4726	6858
408	4737	6846
409	4744	6828
410	4754	6813
411	4764	6799
412	4774	6786
413	4787	6776
414	4802	6770
415	4815	6760
416	4820	6739
417	4829	6724
418	4844	6717
419	4855	6705
420	4866	6692
421	4880	6684
422	4894	6676
423	4904	6662
424	4918	6653
425	4927	6638
426	4941	6631
427	4957	6624
428	4965	6608
429	4973	6592
430	4984	6580
431	4991	6562
432	5001	6549
433	5014	6539
434	5027	6529
435	5035	6513
436	5051	6508
437	5065	6499
438	5077	6488
439	5090	6478
440	5096	6460
441	5106	6447
442	5123	6441
443	5130	6424
444	5141	6412
445	5155	6404
446	5167	6393
447	5176	6378
448	5189	6368
449	5200	6355
450	5214	6347
451	5224	6333
452	5233	6319
453	5247	6310
454	5260	6301
455	5272	6289
456	5285	6279
457	5298	6269
458	5309	6258
459	5321	6247
460	5326	6228
461	5339	6217
462	5346	6201
463	5357	6188
464	5371	6180
465	5376	6160
466	5388	6150
467	5397	6135
468	5405	6119
469	5415	6106
470	5429	6097
471	5444	6090
472	5454	6077
473	5468	6068
474	5479	6056
475	5489	6042
476	5504	6035
477	5513	6021
478	5527	6012
479	5539	6001
480	5547	5985
481	5553	5968
482	5565	5957
483	5577	5945
484	5593	5939
485	5610	5933
486	5623	5923
487	5627	5904
488	5634	5887
489	5651	5882
490	5663	5870
491	5669	5854
492	5686	5848
493	5698	5836
494	5714	5829
495	5721	5813
496	5732	5802
497	5749	5795
498	5753	5776
499	5762	5762
500	5773	5750
501	5788	5742
502	5795	5726
503	5806	5714
504	5816	5701
505	5828	5689
506	5836	5675
507	5848	5664
508	5857	5650
509	5867	5636
510	5878	5625
511	5889	5613
512	5899	5600
513	5911	5589
514	5921	5576
515	5930	5563
516	5942	5551
517	5948	5534
518	5959	5522
519	5965	5506
520	5977	5495
521	5983	5478
522	5995	5468
523	6004	5454
524	6015	5442
525	6023	5428
526	6035	5417
527	6046	5404
528	6051	5388
529	6058	5372
530	6066	5358
531	6072	5342
532	6078	5325
533	6088	5313
534	6097	5299
535	6106	5286
536	6112	5270
537	6126	5261
538	6138	5250
539	6145	5234
540	6154	5221
541	6164	5209
542	6174	5196
543	6183	5183
544	6194	5171
545	6210	5163
546	6220	5151
547	6227	5136
548	6240	5126
549	6249	5112
550	6262	5103
551	6275	5093
552	6287	5082
553	6293	5066
554	6308	5057
555	6321	5047
556	6326	5031
557	6335	5018
558	6348	5008
559	6354	4992
560	6363	4979
561	6375	4969
562	6391	4960
563	6400	4948
564	6409	4935
565	6424	4926
566	6432	4912
567	6441	4899
568	6444	4881
569	6447	4863
570	6452	4847
571	6455	4830
572	6459	4813
573	6463	4797
574	6467	4780
57576	6494	4760
577	6502	4747
578	6508	4732
579	6517	4719
580	6525	4706
581	6537	4695
582	6545	4681
583	6556	4670
584	6567	4659
585	6578	4647
586	6588	4635
587	6599	4623
588	6608	4611
589	6618	4599
590	6626	4585
591	6634	4572
592	6644	4560
593	6654	4548
594	6666	4537
595	6673	4523
596	6683	4511
597	6692	4498
598	6706	4489
599	6723	4482
600	6727	4466
601	6735	4453
602	6744	4440
603	6753	4427
604	6759	4413
605	6766	4399
606	6772	4384
607	6786	4375
608	6799	4365
609	6811	4354
610	6820	4342
611	6833	4332
612	6846	4322
613	6853	4308
614	6864	4297
615	6875	4285
616	6880	4270
617	6892	4260
618	6905	4250
619	6910	4629	620	6920	4223
621	6930	4211
622	6941	4200
623	6949	4187
624	6961	4177
625	6978	4169
626	6993	4160
627	7004	4149
628	7013	4136
629	7020	4123
630	7033	4112
631	7039	4098
632	7048	4086
633	7055	4073
634	7065	4061
635	7076	4049
636	7085	4037
637	7098	4027
638	7120	4022
639	7130	4011
640	7139	3998
641	7149	3986
642	7157	3652	643	7167	3653	644	7178	3950
645	7184	3655	646	7200	3656	647	7208	3657	648	7218	3658	649	7229	3659	7222	3720
660	7234	3710
661	652	7261	3662	653	7273	3663	654	7281	3664	655	7294	3665	656	7303	3666	657	7313	3801
658	7324	3789
659	7335	3778
660	7348	3768
661	7360	3757
662	7373	3747
663	7384	3673	664	7395	3674	665	7402	3675	666	7411	3676	667	7425	3677	668	7432	3678	669	7444	3679	7441	3501
680	7455	3492
681	7462	3479
682	7468	3466
683	7478	3454
684	7501	3449
685	7511	3438
686	7520	3426
687	7530	3414
688	7536	3401
689	7545	3389
690	681	7573	3691	682	7584	3692	683	7599	3693	684	7607	3694	685	7623	3695	686	7635	3696	687	7647	3697	688	7654	3698	689	7668	3445
690	7675	3432
691	7681	3419
692	7690	3406
693	7702	3396
694	7716	3386
695	7725	3374
696	7732	3361
697	7739	3348
698	7750	3337
699	7758	3709	700	7771	3314
701	7785	3304
702	7795	3293
703	7808	3283
704	7819	3271
705	7830	3260
706	7841	3249
707	7848	3236
708	7861	3226
709	7876	3216
710	7889	3206
711	7893	3192
712	7905	3182
713	7918	3171
714	7937	3163
715	7943	3150
716	7955	3139
717	7964	3128
718	7975	3116
719	7990	3107
720	7998	3730	721	8013	3731	722	8022	3732	723	8040	3733	724	8050	3734	725	8060	3735	726	8068	3736	727	8081	3737	728	8091	3738	729	8098	2995
730	8108	2740	731	8122	2973
732	8127	2742	733	8136	2743	734	8146	2744	735	8154	2745	736	8163	2746	737	8169	2747	8163	2750
748	8180	2741
749	8194	2731
750	8206	2721
751	8220	2710
752	8235	2701
753	8243	2689
754	8253	2678
755	8260	2666
756	8270	2654
757	8283	2644
758	8292	2633
759	8306	2622
760	8320	2613
761	8338	2604
762	8343	2591
763	8357	2581
764	8365	2569
765	8369	2556
766	8381	2546
767	8392	2535
768	8396	2522
769	8407	2511
770	8412	2498
771	8426	2488
772	8433	2476
773	8446	2466
774	8455	2454
775	8468	2444
776	8480	2433
777	8486	2421
778	8502	2412
779	8510	2400
780	8521	2389
781	8528	2377
782	8544	2367
783	8556	2357
784	8576	2348
785	8589	2338
786	8600	2327
787	8613	2317
788	8622	2305
789	8628	2293
790	8637	2282
791	8649	2271
792	8658	2260
793	8666	2248
794	8672	2236
795	8683	2225
796	8693	2214
797	8706	2203
798	8720	2193
799	8728	2182
800	8741	2171
801	8753	2161
802	8763	2149
803	8771	2138
804	8782	2127
805	8789	2115
806	8803	2105
807	8810	2093
808	8822	2082
809	8830	2071
810	8841	2060
811	8855	2050
812	8867	2039
813	8875	2028
814	8883	2016
815	8893	2005
816	8907	1995
817	8918	1984
818	8931	1973
819	8945	1963
820	8952	1951
821	8974	1943
822	8982	1931
823	8997	1921
824	9004	1910
825	9011	1898
826	9022	1887
827	9034	1876
828	9043	1865
829	9049	1853
830	9056	1841
831	9068	1831
832	9078	1820
833	9090	1809
834	9099	1798
835	9104	1785
836	9118	1775
837	9133	1765
838	9143	1754
839	9150	1742
840	9164	1732
841	9174	1721
842	9184	1710
843	9193	1699
844	9203	1688
845	9214	1677
846	9225	1666
847	9230	1654
848	9239	1643
849	9250	1632
850	9262	1621
851	9280	1612
852	9294	1601
853	9301	1590
854	9311	1579
855	9322	1568
856	9332	1557
857	9342	1546
858	9350	1534
859	9357	1523
860	9367	1512
861	9376	1501
862	9386	1490
863	9403	1480
864	9414	1469
865	9420	1457
866	9434	1447
867	9446	1436
868	9457	1425
869	9463	1414
870	9471	1402
871	9482	1391
872	9489	1380
873	9503	1370
874	9516	1359
875	9528	1348
876	9537	1337
877	9546	1326
878	9559	1315
879	9570	1305
880	9581	1294
881	9589	1282
882	9602	1272
883	9611	1261
884	9625	1250
885	9634	1239
886	9655	1230
887	9670	1219
888	9683	1209
889	9695	1198
890	9712	1188
891	9721	1177
892	9731	1165
893	9738	1154
894	9753	1144
895	9767	1133
896	9776	1122
897	9782	1111
898	9793	1100
899	9803	1089
900	9816	1078
901	9825	1067
902	9834	1056
903	9845	1045
904	9855	1034
905	9863	1023
906	9876	1012
907	9886	1001
908	9902	991
909	9916	980
910	9926	969
911	9933	958
912	9945	947
913	9951	936
914	9964	925
915	9974	914
916	9980	903
917	9990	892
918	9995	880
919	10004	869
920	10014	859
921	10022	847
922	10033	837
923	10048	826
924	10055	815
925	10062	804
926	10075	793
927	10088	782
928	10101	772
929	10109	760
930	10120	750
931	10126	738
932	10139	728
933	10153	717
934	10162	706
935	10174	695
936	10183	684
937	10193	673
938	10207	663
939	10215	652
940	10223	641
941	10237	630
942	10247	619
943	10256	608
944	10263	597
945	10275	586
946	10285	575
947	10294	564
948	10305	553
949	1031939	10950	1032940	10951	1033941	10952	1034942	10953	1035943	10954	1035944	10360	602
945	10371	592
946	10382	581
947	10391	570
948	10402	559
949	10420	548
950	10437	537
951	10453	527
952	10455	515
953	10465	504
954	10474	493
955	10485	482
956	10494	471
957	10506	460
958	10512	449
959	10525	438
960	10538	427
961	10972	1056962	10973	1057963	10974	1059964	10975	1060965	10976	1062966	10635	362
967	10655	352
968	10672	341
969	10686	330
970	10688	319
971	10691	307
972	10694	296
973	10698	285
974	10702	274
975	10705	263
976	10708	252
977	978	10743	978	979	10748	979	980	10755	980	981	10759	981	982	10763	982	983	10766	983	984	10770	984	985	10772	985	986	10776	986	987	10779	987	988	10783	988	989	10785	989	990	10789	97
991	10792	87
992	10796	76
993	10804	65
994	10806	54
995	10809	43
996	10814	32
997	10817	21
998	10819	10
999	10822	0
9	10779	0
